,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,Yrs_Starter,wAV,G,Cmp,Att,Yds,TD,Int,Rushing_Att,Rushing_Yds,Rushing_TD,Uni,draft_year,mAV
2190,1,1,IND,Peyton Manning HOF,QB,22,2015,7,14,17,176,266,6125,9380,71940,539,251,431,667,18,Tennessee,1998,1.8470574653449532
2191,1,2,SDG,Ryan Leaf,QB,22,2001,0,0,1,1,25,317,655,3666,14,36,59,127,0,Washington St.,1998,0.037037037037037035
2249,2,60,DET,Charlie Batch,QB,23,2012,0,0,4,34,81,908,1604,11085,61,52,172,637,6,East. Michigan,1998,0.8292712480601937
2275,3,86,JAX,Jonathan Quinn,QB,23,2004,0,0,0,4,17,117,223,1161,4,7,25,151,1,Middle Tenn. St.,1998,0.27779113911008296
2280,3,91,DEN,Brian Griese,QB,23,2008,0,1,5,54,93,1752,2796,19440,119,99,238,582,5,Michigan,1998,1.2622602514298702
2361,6,172,MIA,John Dutton,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nevada,1998,0.0
2376,6,187,GNB,Matt Hasselbeck,QB,22,2015,0,3,11,87,209,3222,5330,36638,212,153,365,1231,8,Boston Col.,1998,1.007257820138167
2421,7,232,CHI,Moses Moreno,QB,23,2000,0,0,0,1,9,51,103,485,1,2,9,29,0,Colorado St.,1998,0.09090909090909091
2431,1,1,CLE,Tim Couch,QB,22,2003,0,0,3,30,62,1025,1714,11131,64,67,124,556,2,Kentucky,1999,0.9254767902350717
2432,1,2,PHI,Donovan McNabb,QB,22,2011,0,6,11,107,167,3170,5374,37276,234,117,616,3459,29,Syracuse,1999,1.6120326309932675
2433,1,3,CIN,Akili Smith,QB,24,2002,0,0,1,2,22,215,461,2212,5,13,70,371,1,Oregon,1999,0.09572486291641957
2441,1,11,MIN,Daunte Culpepper,QB,22,2009,0,3,5,86,105,2016,3199,24153,149,106,514,2652,34,Central Florida,1999,1.9589094611867965
2442,1,12,CHI,Cade McNown,QB,22,2000,0,0,1,8,25,281,515,3111,16,19,82,486,3,UCLA,1999,0.44910120489196975
2480,2,50,TAM,Shaun King,QB,22,2004,0,0,1,19,34,415,738,4566,27,24,113,454,5,Tulane,1999,0.9510466505284916
2507,3,77,SEA,Brock Huard,QB,23,2003,0,0,0,2,8,60,107,689,4,2,9,48,0,Washington,1999,0.22973967099940698
2531,4,101,STL,Joe Germaine,QB,24,1999,0,0,0,1,3,9,16,136,1,2,3,0,0,Ohio St.,1999,0.2
2561,4,131,GNB,Aaron Brooks,QB,23,2006,0,0,5,66,93,1673,2963,20261,123,92,362,1534,13,Virginia,1999,1.6059392675387567
2581,5,151,TEN,Kevin Daft,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UC Davis,1999,0.0
2657,7,227,NWE,Michael Bishop,QB,23,2000,0,0,0,0,8,3,9,80,1,1,7,-1,0,Kansas St.,1999,0.0
2669,7,239,ARI,Chris Greisen,QB,23,2000,0,0,0,0,5,7,16,69,1,0,1,1,0,NW Missouri St.,1999,0.0
2675,7,245,CIN,Scott Covington,QB,23,2002,0,0,0,0,4,6,10,30,0,0,2,-4,0,Miami (FL),1999,0.0
2701,1,18,NYJ,Chad Pennington,QB,24,2010,0,0,5,55,89,1632,2471,17823,102,64,180,465,7,Marshall,2000,1.3470813859543243
2748,3,65,SFO,Giovanni Carmazzi,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hofstra,2000,0.0
2758,3,75,BAL,Chris Redman,QB,23,2011,0,0,0,9,30,286,500,3179,21,14,33,25,0,Louisville,2000,0.43645656766369484
2846,5,163,PIT,Tee Martin,QB,22,2003,0,0,0,0,3,6,16,69,0,1,6,36,0,Tennessee,2000,0.0
2851,6,168,NOR,Marc Bulger,QB,23,2009,0,2,8,57,96,1969,3171,22814,122,93,118,300,8,West Virginia,2000,1.305640914885237
2866,6,183,CLE,Spergon Wynn,QB,22,2001,0,0,0,2,10,70,152,585,1,7,11,76,0,Texas St.,2000,0.19144972583283915
2882,6,199,NWE,Tom Brady,QB,23,2022,3,15,21,184,335,7753,12050,89214,649,212,693,1123,28,Michigan,2000,1.5493569575884052
2885,6,202,WAS,Todd Husak,QB,22,2000,0,0,0,0,1,2,2,-2,0,0,1,-1,0,Stanford,2000,0.0
2888,6,205,SDG,JaJuan Seider,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Florida A&M,2000,0.0
2895,7,212,SFO,Tim Rattay,QB,23,2007,0,0,1,12,40,432,714,4853,31,23,45,77,0,Louisiana Tech,2000,0.46964337986206445
2897,7,214,DEN,Jarious Jackson,QB,23,2003,0,0,0,0,5,11,22,114,0,1,7,15,0,Notre Dame,2000,0.0
2917,7,234,TAM,Joe Hamilton,QB,23,2000,0,0,0,0,1,0,0,0,0,0,1,-2,0,Georgia Tech,2000,0.0
2938,1,1,ATL,Michael Vick,QB,21,2015,0,4,7,92,143,1807,3217,22464,133,88,873,6109,36,Virginia Tech,2001,1.5673911511141196
2969,2,32,SDG,Drew Brees,QB,22,2020,1,13,19,167,287,7142,10551,80358,571,243,498,752,25,Purdue,2001,1.608280967921771
2990,2,53,DAL,Quincy Carter,QB,23,2004,0,0,2,16,38,542,960,6337,32,37,152,518,3,Georgia,2001,0.6964404506368992
2996,2,59,OAK,Marques Tuiasosopo,QB,22,2008,0,0,0,1,13,49,90,554,2,7,17,79,0,Washington,2001,0.06666666666666667
3043,4,106,CAR,Chris Weinke,QB,29,2007,0,0,1,9,29,386,709,3904,15,26,54,148,6,Florida St.,2001,0.45053581178187857
3046,4,109,WAS,Sage Rosenfels,QB,23,2010,0,0,0,13,44,351,562,4156,30,29,48,95,1,Iowa St.,2001,0.4720349887033159
3062,4,125,NYG,Jesse Palmer,QB,22,2003,0,0,0,1,8,63,120,562,3,4,5,20,0,Florida,2001,0.1
3086,5,149,DET,Mike McMahon,QB,22,2005,0,0,0,6,29,229,515,2867,15,21,82,409,7,Rutgers,2001,0.27696175763327524
3092,5,155,PHI,A.J. Feeley,QB,24,2011,0,0,1,7,28,425,762,4618,28,31,37,49,1,Oregon,2001,0.3443470710387288
3109,6,172,SEA,Josh Booty,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LSU,2001,0.0
3114,6,177,MIA,Josh Heupel,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oklahoma,2001,0.0
3184,1,1,HOU,David Carr,QB,23,2012,0,0,5,45,94,1353,2267,14452,65,71,305,1328,9,Fresno St.,2002,1.003653453908589
3186,1,3,DET,Joey Harrington,QB,23,2007,0,0,6,31,81,1424,2538,14693,79,85,142,402,0,Oregon,2002,0.742259799934918
3215,1,32,WAS,Patrick Ramsey,QB,23,2008,0,0,1,14,37,511,913,5930,35,30,47,89,2,Tulane,2002,0.6085398677695922
3264,3,81,ARI,Josh McCown,QB,23,2019,0,0,5,40,102,1584,2633,17731,98,82,248,1106,13,Sam Houston St.,2002,0.8043381173779024
3291,4,108,JAX,David Garrard,QB,24,2010,0,1,5,62,86,1406,2281,16003,89,54,380,1746,17,East Carolina,2002,1.6083751528806929
3300,4,117,NWE,Rohan Davey,QB,24,2004,0,0,0,0,7,8,19,88,0,0,6,-5,0,LSU,2002,0.0
3320,5,137,CAR,Randy Fasani,QB,23,2002,0,0,0,1,4,15,44,171,0,4,18,95,0,Stanford,2002,0.16666666666666666
3341,5,158,ATL,Kurt Kittner,QB,22,2003,0,0,0,1,7,44,114,391,2,6,8,13,0,Illinois,2002,0.1111111111111111
3346,5,163,SFO,Brandon Doman,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BYU,2002,0.0
3347,5,164,GNB,Craig Nall,QB,23,2007,0,0,0,1,7,30,48,402,5,0,10,11,0,LSU,2002,0.1111111111111111
3369,6,186,NOR,J.T. O'Sullivan,QB,23,2009,0,0,0,6,17,145,257,1866,9,13,39,145,0,UC Davis,2002,0.451884972980607
3388,6,205,STL,Steve Bellisari,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ohio St.,2002,0.0
3399,7,216,SDG,Seth Burford,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cal Poly-San Luis Obispo,2002,0.0
3415,7,232,SEA,Jeff Kelly,QB,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southern Miss,2002,0.0
3419,7,236,BAL,Wes Pate,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S.F. Austin,2002,0.0
3445,1,1,CIN,Carson Palmer,QB,23,2017,0,3,12,107,182,3941,6307,46247,294,187,301,474,8,USC,2003,1.480616927379686
3451,1,7,JAX,Byron Leftwich,QB,23,2012,0,0,3,33,60,930,1605,10532,58,42,137,415,10,Marshall,2003,1.071087715545539
3463,1,19,BAL,Kyle Boller,QB,22,2011,0,0,4,16,67,861,1519,8931,48,54,176,572,2,California,2003,0.4037335945721155
3466,1,22,CHI,Rex Grossman,QB,23,2011,0,0,3,23,54,863,1562,10232,56,60,81,106,4,Florida,2003,0.7689274696921735
3532,3,88,HOU,Dave Ragone,QB,23,2003,0,0,0,1,2,20,40,135,0,1,6,51,0,Louisville,2003,0.25
3541,3,97,TAM,Chris Simms,QB,23,2009,0,0,1,8,23,297,511,3117,12,18,33,48,1,Texas,2003,0.48502930128332733
3554,4,110,SEA,Seneca Wallace,QB,23,2013,0,0,1,14,64,468,788,4947,31,19,68,293,1,Iowa St.,2003,0.35959174004566813
3607,5,163,PIT,Brian St. Pierre,QB,23,2010,0,0,0,0,3,15,33,185,2,3,5,-1,0,Boston Col.,2003,0.0
3636,6,192,HOU,Drew Henson,QB,23,2008,0,0,0,0,9,11,20,98,1,1,1,7,0,Michigan,2003,0.0
3644,6,200,NYJ,Brooks Bollinger,QB,23,2008,0,0,1,6,21,211,360,2226,9,9,41,155,0,Wisconsin,2003,0.37329628202745796
3645,6,201,NWE,Kliff Kingsbury,QB,24,2005,0,0,0,0,1,1,2,17,0,0,0,0,0,Texas Tech,2003,0.0
3676,7,232,WAS,Gibran Hamdan,QB,22,2003,0,0,0,0,1,1,2,7,0,0,0,0,0,Indiana,2003,0.0
3685,7,241,SFO,Ken Dorsey,QB,22,2008,0,0,0,2,16,214,408,2082,8,18,11,18,0,Miami (FL),2003,0.1276331505552261
3707,1,1,SDG,Eli Manning,QB,23,2019,0,4,14,121,236,4895,8119,57023,366,244,315,567,7,Mississippi,2004,1.326677877599763
3710,1,4,NYG,Philip Rivers,QB,22,2020,0,8,15,149,244,5277,8134,63440,421,209,383,601,3,North Carolina St.,2004,1.6477389770037727
3717,1,11,PIT,Ben Roethlisberger,QB,22,2021,0,6,17,131,249,5440,8443,64088,418,211,515,1373,20,Miami (OH),2004,1.383731518300248
3728,1,22,BUF,J.P. Losman,QB,23,2011,0,0,1,19,45,564,952,6271,33,34,105,490,3,Tulane,2004,0.7284612642345892
3796,3,90,ATL,Matt Schaub,QB,23,2020,0,2,7,68,155,2148,3348,25467,136,91,196,353,4,Virginia,2004,1.0071891596805842
3812,4,106,CLE,Luke McCown,QB,23,2015,0,0,0,8,62,216,356,2370,9,15,34,177,0,Louisiana Tech,2004,0.18946457081379975
3854,5,148,CHI,Craig Krenzel,QB,23,2004,0,0,0,1,6,59,127,718,3,6,18,41,0,Ohio St.,2004,0.125
3891,6,185,PHI,Andy Hall,QB,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Delaware,2004,0.0
3893,6,187,BAL,Josh Harris,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bowling Green,2004,0.0
3899,6,193,IND,Jim Sorgi,QB,23,2009,0,0,0,5,16,99,156,929,6,1,31,0,0,Wisconsin,2004,0.38325823929478187
3907,6,201,STL,Jeff Smoker,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Michigan St.,2004,0.0
3908,7,202,ARI,John Navarre,QB,23,2005,0,0,0,0,2,32,64,342,2,5,0,0,0,Michigan,2004,0.0
3923,7,217,SFO,Cody Pickett,QB,24,2005,0,0,0,1,6,18,45,195,0,4,14,47,0,Washington,2004,0.125
3924,7,218,CIN,Casey Bramlet,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wyoming,2004,0.0
3931,7,225,DEN,Matt Mauck,QB,25,2005,0,0,0,1,2,15,27,136,0,1,7,39,0,LSU,2004,0.25
3954,7,248,HOU,B.J. Symons,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Texas Tech,2004,0.0
3956,7,250,DEN,Bradlee Van Pelt,QB,24,2005,0,0,0,0,3,2,8,7,0,0,11,48,1,Colorado St.,2004,0.0
3962,1,1,SFO,Alex Smith,QB,21,2020,0,3,14,98,174,3250,5193,35650,199,109,580,2604,15,Utah,2005,1.393024077612515
